username, created_at, lng, lat, text
lcpope42, Thu Jun 11 10:08:06 +0000 2020, -96.761753, 32.819858, I recognize the game my children be playing on me. I appreciate the fact they have it because it will be needed in… https://t.co/SwQ5ZPHXm5 
511NY, Thu Jun 11 10:08:07 +0000 2020, -73.949146, 40.768500, Incident on #FranklinDRooseveltDrive NB from East 56th Street to East 77th Street https://t.co/yZf70uygn0 
511NYC, Thu Jun 11 10:08:07 +0000 2020, -73.949146, 40.768500, Incident on #FranklinDRooseveltDrive NB from East 56th Street to East 77th Street https://t.co/LDnpyrbYTn 
jayisway, Thu Jun 11 10:08:07 +0000 2020, -75.117998, 40.004866, @Sexy_Waifu_Pics More edits pls 
therealmrbars, Thu Jun 11 10:08:07 +0000 2020, -73.849441, 40.850347, @NYGovCuomo Don’t reform the cjs without letting those who’ve been railroaded stay that way 
cellusfrazier, Thu Jun 11 10:08:07 +0000 2020, -83.173867, 32.678207, This Friday in Austell at the Georgia Post @WhereProtest #atlprotests #BLMprotest https://t.co/tkWu8p6GEj 
jesparza1069, Thu Jun 11 10:08:08 +0000 2020, -95.158936, 29.668301, @Kokomothegreat @tedcruz is a spineless coward 
CaseyDee521, Thu Jun 11 10:08:08 +0000 2020, -118.411907, 34.020789, @seanhannity Sounds like someone needs to take their medication... #CrazyPills #SayWhat #YouCray #NYC… https://t.co/Nz1NPeA4vv 
GaryEll34913428, Thu Jun 11 10:08:08 +0000 2020, -84.057297, 36.938500, @SharikaSoal84 U think.....i believe they are a bunch of rich keds who need a good ads whooping 
MorganeOgerBC, Thu Jun 11 10:08:08 +0000 2020, -123.123581, 49.257639, Arguing for the exclusion of others affects them. 
shmirek, Thu Jun 11 10:08:09 +0000 2020, -83.751503, 42.178922, @AnnCoulter Animals! 
CoachJJWFHS, Thu Jun 11 10:08:10 +0000 2020, -80.926628, 33.631140, @CoachDevlin1 and me designing fields for Monday. https://t.co/OMcJA1FQ4K 
FierceCheerMom, Thu Jun 11 10:08:10 +0000 2020, -79.420865, 38.003376, Yup! 
michael_k_woods, Thu Jun 11 10:08:11 +0000 2020, -119.306608, 37.269176, This is so dumb. 
kayleanlocklear, Thu Jun 11 10:08:12 +0000 2020, -86.760091, 33.385555, The Lord is my shepherd, I lack nothing.  He makes me lie down in green pastures, he le…https://t.co/3LMmAOTwfn https://t.co/g2lOFYokbW 
